"...1","item","prog_human","mant_human","prot_human","similarity","item_length","word_count","complete_sentence"
"1","Forty-six states responded, leading groundbreaking reforms that will deliver better education to millions of American students.",6.25,4,2.75,0.792494481236203,127,16,TRUE
"3","For international solidarity to fight a capitalist system run in the interests of the 1%.",6,2,4,0.777777777777778,89,15,TRUE
"4","For a truly fair society, justice must pervade every aspect of daily life.",4,6,5.5,0.615384615384615,74,13,TRUE
"7","Work to develop an all-Ireland energy market.",5.5,3,2.75,0.714714714714715,45,7,TRUE
"11","From the functional and economic point of view, trees are one of the most important renewable and sustainable resources available to this country.",3,5.75,5.25,0.877022653721683,146,23,TRUE
"12","The Irish fishing industry is an important source of economic benefit to often disadvantaged coastal communities.",3,5.5,4.5,0.719298245614035,113,16,TRUE
"13","It also did not oppose EU moves towards the introduction of genetically modified (GM) crops, which would be disastrous for the Irish tillage sector.",3.5,3,6.25,0.73015873015873,148,24,TRUE
"14","We support full equality for lesbian, gay, bisexual and transgender people, including the right to marry for same sex couples.",6.25,4.25,2.25,0.776041666666667,126,20,TRUE
"15","By whatever legislative method is most feasible, Old Glory should be given legal protection against desecration.",3,5.25,6.25,0.804511278195489,112,16,TRUE
"16","Ensure that all alcoholic drinks carry a label warning of the significant health risks to the developing fetus of drinking in pregnancy.",3.5,4.25,6.25,0.553264604810997,136,22,TRUE
"21","We will reform the legislation governing developments in the coastal zone.",6,3.5,5,0.736842105263158,74,11,TRUE
"23","It is going to happen; we should plan for it .",5.75,3.75,6,0.680365296803653,46,11,TRUE
"24","Since 1997 there has been a mindset change in Ireland in the way we think about waste and in the way we deal with it.",5.75,2.5,5,0.810551558752998,117,25,TRUE
"27","The quality of childcare needs to be urgently addressed so that all children get the best start in life.",6.25,3.5,6.5,0.832080200501253,104,19,TRUE
"31","As we license all hospitals, they should all be available for use by the State as service providers to patients.",5.5,4.25,6.25,0.659863945578231,112,20,TRUE
"32","Introduce smaller vehicles for rural communities and a demand-responsive dial-up transit system.",6,3.5,3.5,0.626666666666667,96,12,TRUE
"36","We deplore the continuing violence, especially in Boipatong Township, and are concerned about the collapse of the negotiations.",4.5,3.25,6.5,0.785529715762274,127,18,TRUE
"37","The strong economy we have built now enables us to do much more.",5.25,4.5,3,0.582010582010582,64,13,TRUE
"39","Democrats support public investments in technology and innovation that help create a stronger economy for all Americans.",5.75,3.5,4.75,0.508196721311475,120,17,TRUE
"40","A Youth Jobs Fund to create 20,000 new jobs and an individual plan for the long-term prospects of every person under 25 who is on the Live Register.",6,2.75,5.5,0.784580498866213,148,28,TRUE
"42","Sinn Féin will prioritise making communities tormented by anti-social behaviour, crime and drugs safer communities.",6,3.25,6.25,0.844611528822055,115,15,TRUE
"43","No re-introduction of third level fees, pay students a living grant instead.",6.25,3.25,4.25,0.592261904761905,76,12,TRUE
"47","We believe that the right to own firearms is subject to reasonable regulation.",2.75,5.75,4,0.590214067278287,78,13,TRUE
