,item,prog_human,mant_human,prot_human,similarity
1,"Wir wollen im Rahmen der internationalen Klimafinanzierung die Entwicklungsländer bei der Anpassung an den Klimawandel und beim Umweltschutz durch den Transfer von technischem Wissen unterstützen. Daher streben wir im Rahmen unserer europäischen Clean-Tech-Initiative eine enge Klimapartnerschaft mit Ländern in Asien, in der arabischen Welt und in Lateinamerika an.",6.6,2.6,2.6,0.963665087
2,"Wir sorgen dafür, dass Bahnfahren für alle bezahlbar ist. Gerade junge Menschen in Ausbildung oder Studium wollen wir bei klimafreundlicher und bezahlbarer Mobilität besonders unterstützen.",5.2,5.2,2.4,0.850340136
3,"Auch Erdgas ist ein klimaschädlicher Brennstoff, sein Gebrauch muss immer weiter abnehmen. Die extrem klimaschädlichen Emissionen, die bei Erdgasförderung und -transport entstehen, wollen wir schnellstmöglich reduzieren.",4.8,3.4,6.2,0.579288026
5,"Eine ambitionierte Klimaschutzpolitik und der klimaneutrale Umbau der Wirtschaft sind die beste Chance, bestehende Arbeitsplätze in Deutschland und anderen Ländern zu erhalten und neue zu schaffen.",5.4,5,3.6,0.736842105
6,"Hierfür werden wir investieren: in den Aus- und Neubau des Schienennetzes, in den Lärmschutz und den Ausbau und die Attraktivitätssteigerung von Bahnhöfen. Wir haben das Ziel, alle Großstädte wieder ans Fernverkehrsnetz anzuschließen und neue schnelle Zug- und Nachtzugverbindungen in unsere Nachbarländer zu etablieren.",6.4,3.8,2,0.901041667
7,"Gerade in Krisenzeiten ist es gut, dass Bund und Länder mit Konjunkturprogrammen dem Verlust von Arbeitsplätzen entgegenwirken. Doch ein Staat, der das Pariser Klimaabkommen unterzeichnet hat, muss bei staatlichen Hilfen die Klimafolgen mit in den Blick nehmen. Durch staatliche Rettungen von Fluggesellschaften das Weiter-so der Billigflieger strukturell zu erhalten, ist entgegen jeglicher Vernunft und widerspricht einem sachgerechten, verantwortungsvollen Umgang mit Steuergeldern.",3.4,3.2,6.2,0.839002268
8,"Der Verkauf von landwirtschaftlichen Flächen soll grundsätzlich an Landwirt*innen sowie gemeinnützige Landgesellschaften erfolgen – und zwar zu Preisen, die dem Ertragswert entsprechen.",3.6,5.8,3.6,0.87654321
9,Mit dem Umstieg auf erneuerbare Energien müssen wir Energie zugleich effizienter nutzen. Wir werden die Energieeffizienzziele und -standards weiterentwickeln.,6,3.2,3,0.763532764
10,"In der Europäischen Union setzen wir uns dafür ein, dass der Waldschutz ein wichtiger Bestandteil des Green Deals wird und überall in Europa mehr für die Wälder getan wird.",4.6,5.6,3.2,0.658792651
11,"Wir wollen dafür Sorge tragen, dass unser Grundwasservorkommen schonend bewirtschaftet wird und sauber bleibt. Deshalb müssen Einträge, zum Beispiel Rückstände aus Landwirtschaft, Industrie, Bergbau sowie Medikamente, immer dort reduziert werden, wo eine Gefährdung vorliegt.",4.5,3.25,5.25,0.605442177
