,item,prog_human,mant_human,prot_human,similarity
1,Milieukosten en sociale kosten internaliseren we in prijzen voor productie en transport. Zo maken we het voor consumenten eenvoudig om een gezonde en duurzame keuze te maken over wat er op hun bord ligt.,5.4,3.8,5.4,0.7421875
2,We beschermen onze regio tegen de gevolgen van klimaatverandering. Door meer ruimte te geven aan natuur en rivieren beschermen we ons land tegen overstromingen en wateroverlast en geven we meteen biodiversiteit een boost.,4.4,4.4,6.2,0.796296296
3,We faseren alle subsidies voor fossiele en nucleaire energie uit en zetten die in voor de financiering van de energietransitie. Een transparant monitoringsysteem maakt de voortgang zichtbaar.,5.4,3,4.4,0.697247706
4,"Het Vlaams ecofonds moet ook gediversifieerde energieproductie (zon, wind, kernenergie) financieren en investeren in energiezuinige oplossingen bij gezinnen en bedrijven.",5.6,3.8,5,0.603174603
5,De pakkans voor sluikstort moet verhoogd worden (o.m. via de inzet van camera’s op sluikstortgevoe- lige plaatsen) en overtreders moeten kordaat aangepakt worden (ook met werkstraffen).,5,3.8,6.4,0.763779528
6,"De elektriciteitsproductie wordt meer en meer onvoorspelbaar, waardoor het energielandschap flexibeler en dynamischer moet worden. Om dit te kunnen faciliteren hebben we een slim elektriciteitsnet nodig en wordt de digitale meter snel en overal uitgerold.",6,2.8,4.4,0.908854167
7,"We moeten ons ook beschermen tegen het water van de Noordzee, daarom is in het kader van de klimaatopwarming belangrijk om verder en uitgebreider werk te maken van de kustbeveiliging.",4.4,5.4,6.2,0.68852459
8,We rollen de technologie uit die moet toelaten om windmolens ook dichter bij luchthavens te plaatsen; daardoor neemt het windpotentieel sterk toe.,5.6,3,3.4,0.724489796
9,"We zetten in op maximale recyclage in eigen land van elektronisch afval, om de waardevolle grondstoffen te herwinnen én dumping te vermijden, mits economisch haalbaar.",5.8,3.2,4.8,0.763565891
10,"De [partij] maakt werkt van de realisatie en adequate bescherming van bestemde natuur- en bosgebieden. Wij pleiten ervoor dat natuur en bos, die in een groene bestemming zijn opgenomen of definitief bestemd zijn, echt veiliggesteld worden voor de toekomst.",4.2,5.8,5,0.75
11,We willen een ambitieus reductietraject naar 2030 en 2050. In 2050 willen we een klimaatneutrale samenleving in Europa.,5.6,3.4,5.2,0.815533981
