"item","prog_human","mant_human","prot_human","similarity"
"And as we commit to new policies for America tonight, let us make one further pledge:",6.2,4.2,4,0.65843621399177
"For eight years the Clinton-Gore administration has coasted through prosperity. The path of least resistance is always downhill. But America's way is the rising road. This nation is daring and decent and ready for change.",5.4,3.4,3.8,0.696969696969697
"To our allies let us send from this convention one message from our hearts: The American people are united with you to the limit of our resources and manpower, devoted to the single task of victory and the establishment of a firm and lasting peace.",5.2,3.6,6.4,0.868501529051988
"I see an America on the move again, united, a diverse and vital and tolerant nation, entering our third century with pride and confidence, an America that lives up to the majesty of our Constitution and the simple decency of our people.",5.8,4.4,4.8,0.573643410852713
"Now, we are clear-eyed about what our country is up against. But we are not afraid. We will rise to the challenge just as we always have. We will not build a wall; instead, we will build an economy where everyone who wants a good job can get one. And we'll build a path to citizenship for millions of immigrants who are already contributing to our economy.",6.8,3.4,4.4,0.758691206543967
"No sound national policy looking to the national welfare will neglect the farmer. This is not because the farmer needs or wishes to be coddled, or that he asks for undue help. It is necessary because the needs of a great nation require that its food producers shall always stand upon a social and economic plane in keeping with the national importance of their service.",3.4,3.6,5.4,0.753424657534247
"Just as on New Year's Day we instinctively think, I wonder where I will be a year from now, so it is quite natural for the Republican Party to ask today, What will happen, not just in the coming election, but even one hundred years from now?",5.4,3.2,3.8,0.71031746031746
"We have been neutral not only because it was the fixed and traditional policy of the United States to stand aloof from the politics of Europe and because we had had no part either of action or of policy in the influences which brought on the present war, but also because it was manifestly our duty to prevent, if it were possible, the indefinite extension of the fires of hate and desolation kindled by that terrible conflict and seek to serve mankind by reserving cur strength and our resources for the anxious and difficult days of restoration and healing which must follow, when peace will have to build its house anew.",4.2,3.4,5.8,0.737003058103976
"The promising initiatives we have undertaken to limit arms would be destroyed.",3.8,5,5.6,0.538461538461539
"The unity we seek is more than material. It is more than a matter of things and measures. It is most of all spiritual. Our problem is not outside ourselves. Our problem is within ourselves. We have found the means to blow this world of ours apart, physically. We have not yet found the spiritual means to put together the world's broken pieces, to bind up its wounds, to make a good society, a community of men of good will that fits our dreams. We have devised noble plans for a new world. Without a new spirit, our noblest plans will come to nought. We pray that, in the days ahead, a full measure of that spirit may be ours.",5.6,4,5.4,0.606965174129353
"When competition—natural, fair, impelling competition—is suppressed, whether by law, compact or conspiracy, we halt the march of progress, silence the voice of inspiration, and paralyze the will for achievement. These are but common sense truths of human development.",5.6,3.8,5,0.504385964912281
"What we need is a rebirth of leadership–leadership that will give us a glimpse of the nobility and vision without which peoples and nations perish. Woodrow Wilson said that When America loses its ardor for mankind, it is time to elect a Democratic president. There doesn't appear to be much ardor for anything in America just now; and it's time to elect a Democratic Administration, a Democratic Congress, yes, and Democratic Government in every state and local office all across the land.",5.8,3.8,4.6,0.731182795698925
"No more dishonest or unpatriotic propaganda has ever been seen in this country than that disclosed by the investigation into the methods of certain utility corporations. Private corporations to gain control of public resources have procured the writing of textbooks for the public schools; have subsidized lecturers pretending to give to the country their own honest and unbiased advice; have employed as their agents former public officials and have endeavored to mislead public opinion by the retention of the services of leaders of the community in various parts of the country. Highly paid lobbyists, penetrated into every State and into the legislative halls of the nation itself.",2.6,3,5.8,0.913112164296998
"I believe in a great merchant marine—I would have this Republic the leading maritime nation of the world.",6,3.8,4.4,0.821428571428571
"We're going to finally start getting things done for the people who are counting on us, and I won't care who gets the credit.",6,3.2,3.8,0.867724867724868
"We all know how truly the world has become one- that if Germany and Japan, for example, were to come through this war with their philosophies established and their armies intact, our own grandchildren would again have to be fighting in their day for their liberties and their lives.",3.2,3.6,6.4,0.765503875968992
"In this time of change, Government must take the side of working families. In a new term, we will change outdated labor laws to offer comp-time and flex-time. Our laws should never stand in the way of a more family-friendly workplace.",5.8,3.6,3.6,0.53968253968254
"And to lead this nation to a responsibility era, that president himself must be responsible.",5.6,3.2,3.2,0.717717717717718
