,item,prog_human,mant_human,prot_human,similarity
1,Ensuring the continued vitality of our political alliance with Europe through NATO will require effort and understanding on both sides of the Atlantic.,3.25,7,4,0.783068783
2,The productivity of America's farmers makes possible the generosity of U.S. food aid efforts around the world. These programs are fragmented between the Department of Agriculture and the U.S. Agency for International Development. They should be streamlined into one agency with a concentration on reducing overhead to maximize delivery of the actual goods.,6.5,3.25,2.75,0.728643216
3,"This summer's lack of rainfall over much of agricultural America highlights the importance of access to water for farmers and ranchers alike. We stand with growers and producers in defense of their water rights against attempts by the EPA and the Army Corps of Engineers to expand jurisdiction over water, including water that is clearly not navigable.",3.75,4.5,6.75,0.698005698
4,"Meanwhile, even as the presence of U.S. forces in Europe necessarily evolves, the United States will maintain its Article 5 collective security commitments to NATO and will continue to leverage America's comparative advantage in high-end military capabilities to ensure the defense of our allies.",3.5,7,3.25,0.812006319
5,We support a world-class commitment to science and research so that the next generation of innovators and high-technology manufacturing companies thrive in America.,6.75,4,2.75,0.857379768
6,"We remain committed to defending and deepening our partnerships with our allies in the region: Australia, Japan, New Zealand, the Philippines, South Korea, and Thailand.",3.75,6.75,3.75,0.627314815
7,"We have committed to ending veterans' homelessness, and have launched new partnerships with the Departments of Veterans Affairs and Housing and Urban Development and with veterans' organizations to do just that.",6.75,3.25,2.75,0.90497076
8,We urge the private sector to make hiring vets a company policy and commend the many organizations that have specific programs to accomplish this. But the federal government must take the lead by simplifying the paper work required for a tax break for hiring a veteran and by giving vets their assured place at the head of the training and employment line.,6.75,4,3,0.847145488
9,"By investing in job creation, clean energy, agriculture, and education, we have built a stronger rural economy where future generations can enjoy the rural way of life.",7,4.75,2.75,0.769585253
10,"We are committed to keeping the sacred trust we have with our troops, military families, and veterans.",2,7,2.25,0.941382327
11,"We are restoring treasured landscapes like the Great Lakes, the Florida Everglades, and local wilderness areas.",6.75,4,4.25,0.717717718
12,"We will ensure that America has a 21st century digital infrastructure - robust wired and wireless broadband capability, a smarter electrical grid, and upgraded information technology infrastructure in key sectors such as health care and education.",6.75,2.75,3,0.869986169
13,We launched partnerships with the private sector to help veterans transfer their experience into skilled manufacturing jobs.,7,3.25,3.5,0.887835703
14,We proposed a new Veterans Jobs Corps to put veterans to work as first responders,6.25,1.75,1.75,0.982510288
15,"Our vision for rural America stands in stark contrast to our opponents' who have introduced a budget that would gut rural economic programs that invest in education, clean energy, infrastructure, and health care, undermining job growth and economic development in rural America. They would severely weaken the farm safety net for family farmers in times of natural disaster and economic hardship.",3.25,4.5,7,0.773333333
16,"We are planning for a strong agricultural future, and have proposed increasing funding for research and development to improve agricultural productivity and continue to pursue global food security.",6.75,3.75,2.75,0.857371795
17,We encouraged investment and supported start-ups by allowing businesses to write off the full cost of new equipment and machinery they bought,6.25,3.75,2.5,0.859047619
18,We are heartened by the ongoing reconciliation in Northern Ireland and hopeful that its success might be replicated in Cyprus.,6.75,4.75,3.75,0.568452381
19,"The U.S. will continue to demand the complete, verifiable, and irreversible dismantlement of North Korea's nuclear weapons programs with a full accounting of its proliferation activities.",2.75,4.75,5.75,0.568452381
20,"We must make military and veterans' medicine the gold standard for mental health care, advances in prosthetics, and treatment of trauma and eye injuries. We must heed Abraham Lincoln's command to care for him who bore the battle.",6.25,3.25,4,0.663817664
21,"A job for a veteran is more than a source of income. It is a new mission, with a new status, and the transition can be difficult. It is a national scandal that veterans are one of the groups with the highest unemployment rates.",5,2.5,5.5,0.698924731
22,We will encourage investments in small businesses. We will create an environment where adequate financing and credit are available to spur manufacturing and expansion. We will serve as aggressive advocates for small businesses.,5.75,3.75,3.5,0.698630137
23,"While small businesses have significantly contributed to the nation's economic growth, our government has failed to meet its small business goals year after year and failed to overcome burdensome regulatory, contracting, and capital barriers. This impedes their growth.",4.5,2.75,4.75,0.754385965
24,We charted a new mission for NASA to lead us to a future that builds on America's legacy of innovation and exploration.,6,3,4,0.547619048
25,"We will continue pursuing efforts to combat climate change at home as well, because reducing our emissions domestically - through regulation and market solutions - is necessary to continue being an international leader on this issue.",5.5,4,5.25,0.580645161
26,"We recognize America's enduring interest in supporting peace and prosperity in Europe, as well as bolstering the strength and vitality of NATO, which is critical to the security of the continent and beyond.",3.25,5.5,6,0.718446602
27,"We know that global climate change is one of the biggest threats of this generation - an economic, environmental, and national security catastrophe in the making.",4.5,2.75,5.5,0.501792115
28,"The West has been the bulwark of democracy and freedom, providing hope and faith to the oppressed around the globe. Our historic ties to the peoples of Europe have been based on shared culture and values, common interests and goals.",2.75,6,4,0.764857881
29,Securing sufficient funding for the Highway Trust Fund remains a challenge given the debt and deficits and the need to reduce spending.,2.25,3.75,5,0.597069597
30,"We cannot overlook the continued repression of human rights and religious freedom, as well as retribution against ethnic minorities and others who assisted U.S. forces during the conflict there.",2.75,3.5,5.5,0.714776632
31,"Our farmers and ranchers are responsible for millions of jobs and for generating a trade surplus of more than $137 billion annually. Our producers provide America with abundant food, export food to hungry people around the world, and create a positive trade balance.",3,6,3.25,0.852130326
32,"Today we are responsibly developing our natural resources to create clean energy jobs here at home while encouraging conservation, reducing energy waste, and protecting the environment.",6.25,3.5,3.75,0.705705706
33,We signed an executive order making it harder for for-profit colleges to prey on veterans.,3,3.75,6.25,0.717026379
34,"Small businesses are the leaders in the world's advances in technology and innovation, and we pledge to strengthen that role and foster small business entrepreneurship.",6.5,5.5,2.75,0.876611418
35,"We are committed to preparing math and science teachers and training workers with skills for the future, and doubling funding for key basic research agencies.",6.75,3,2.5,0.877734878
36,We appreciate agriculture's role in securing America's food security and making our country an ambassador of food aid to countries across the world.,3,6,4.5,0.641975309
37,"We are committed to continue cutting red tape for small businesses, helping them sell their goods around the world and access the capital they need to grow. This includes tax cuts for small businesses that make new investments, hire more workers, or increase wages.",5.75,4.75,3.25,0.504385965
38,"An agricultural economy built to last is integral to the affordability of our food, the independence of our energy supply, and the security of America's middle class. We support agriculture from the small farms that feed the community to the large farms that feed the world.",4.75,6.25,3.75,0.644736842
