,item,prog_human,mant_human,prot_human,similarity
1,Vliegreizen over korte afstanden mogen niet meer goedkoper zijn dan reizen per trein met dezelfde bestemming.,5,2.2,4,0.844017094
2,Wij koesteren de Nederlandse natuur. Erin vertoeven is goed voor de geestelijke en lichamelijke gezondheid. Goed beheren en verzorgen op een verstandige manier is cruciaal.,4.4,6.2,4.4,0.754385965
3,"Wij willen de bestaande natuur koesteren en beschermen, geen bomenkap en andere destructieve maatregelen voor ‘natuurherstel’ en biomassa, maar aanplant bomen stimuleren.",4.6,6.6,4.4,0.708994709
4,Wij willen stoppen met rewilding projecten en de natuur openstellen voor recreatie.,4.8,3,3.8,0.619047619
5,"Wij willen inzetten op adaptatie door - waar nodig - onze infrastructuur te verbeteren. Door te investeren in innovatie op gebied van dijkenbouw, kustbescherming, rivierbeheer en gewasontwikkeling.",6.2,3.8,4.2,0.88372093
6,"We moderniseren de afvalwet, met oog voor de risico’s, zodat we de werkzaamheden van bedrijven die zich richten op het waardevol hergebruiken van reststromen en afvalstromen mogelijk maken.",5.6,3.2,4.6,0.900900901
7,"We maken isoleren financieel aantrekkelijker voor woningeigenaren, gemakkelijker voor verenigingen van eigenaren en verplicht voor verhuurders.",5.4,2.6,4.2,0.721311475
8,Uiteindelijk willen we een Europese CO2-heffing die onze nationale heffing vervangt.,5.6,2.6,3.2,0.62962963
9,Het moet makkelijker worden om afval als product of materiaal te gebruiken. De wetgeving rond afvalstatus dient hiervoor zo snel mogelijk aangepast te worden.,5.2,2.6,4.6,0.904761905
10,"De Nederlandse Spoorwegen en ProRail worden één publiek spoorbedrijf, dat verantwoordelijk wordt voor het hele spoorvervoer.",5.6,1.8,1.4,0.961474037
11,"Voor perioden met te weinig zon en wind borgen we de leveringszekerheid via afspraken met grote afnemers over flexibel elektriciteitsgebruik en CO2-vrije gascentrales, waar we het gebruik van waterstof normeren.",5.6,3.2,3.8,0.748538012
12,We helpen zowel kopers als huurders om hun woning te verduurzamen en duurzame energie op te wekken.,5.6,3.2,2.2,0.770226537
